,company,level,title,yearsofexperience,yearsatcompany,tag,gender,dmaid,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic
34030,amazon,L7,Solution Architect,14.0,0.0,other,Male,807.0,1,0,0,0,0,1,0,0,0,0
61738,other,other,Software Engineer,4.0,0.0,Web Development (Front-End),Male,506.0,0,1,0,0,0,0,1,0,0,0
26412,other,other,Software Engineering Manager,15.0,6.0,API Development (Back-End),Male,803.0,1,0,0,0,0,1,0,0,0,0
42316,other,other,Software Engineer,9.0,2.0,API Development (Back-End),Male,820.0,0,1,0,0,0,0,0,0,0,1
37453,apple,L4,Software Engineer,9.0,5.0,other,Female,807.0,0,1,0,0,0,1,0,0,0,0
40481,other,L2,Software Engineer,5.0,1.0,other,Male,506.0,1,0,0,0,0,0,0,0,0,1
56198,other,other,Hardware Engineer,6.0,6.0,other,Male,807.0,0,0,1,0,0,1,0,0,0,0
54025,other,L3,Software Engineer,1.0,0.0,API Development (Back-End),Male,0.0,0,1,0,0,0,1,0,0,0,0
33299,other,other,Product Manager,10.0,1.0,Technical,Male,819.0,1,0,0,0,0,0,1,0,0,0
60042,apple,other,Hardware Engineer,2.0,0.0,other,Female,807.0,1,0,0,0,0,1,0,0,0,0
37765,other,Senior Software Engineer,Software Engineer,5.0,2.0,Distributed Systems (Back-End),Male,807.0,1,0,0,0,0,1,0,0,0,0
30695,facebook,E5,Software Engineer,3.0,3.0,Distributed Systems (Back-End),Male,807.0,0,1,0,0,0,0,1,0,0,0
24628,amazon,L4,Data Scientist,1.0,0.0,ML / AI,Male,819.0,0,0,1,0,0,0,1,0,0,0
60055,other,other,Data Scientist,10.0,5.0,other,Male,0.0,1,0,0,0,0,1,0,0,0,0
41587,other,L5,Software Engineer,10.0,0.0,Data,Male,807.0,0,1,0,0,0,1,0,0,0,0
32154,other,L2,Software Engineer,3.0,3.0,Web Development (Front-End),Female,506.0,0,1,0,0,0,0,0,0,1,0
23727,other,other,Software Engineer,6.0,2.0,other,Male,0.0,0,1,0,0,0,0,1,0,0,0
30587,salesforce,other,Software Engineer,2.0,1.0,other,Female,807.0,0,1,0,0,0,1,0,0,0,0
40213,amazon,L5,Software Engineer,7.0,0.0,Distributed Systems (Back-End),Male,0.0,0,1,0,0,0,0,1,0,0,0
39513,other,L6,Product Manager,8.0,1.0,Technical,Male,511.0,1,0,0,0,0,1,0,0,0,0
49825,amazon,L5,other,8.0,5.0,other,Male,819.0,0,1,0,0,0,0,1,0,0,0
52027,other,other,Product Manager,3.0,3.0,Product,Male,501.0,0,1,0,0,0,0,1,0,0,0
45924,other,L4,Product Designer,5.0,1.0,User Experience (UX),Female,807.0,0,1,0,0,0,0,1,0,0,0
57067,other,other,Software Engineer,2.0,2.0,Data,Male,0.0,0,1,0,0,0,0,1,0,0,0
27477,other,other,Software Engineer,4.0,0.0,other,Male,807.0,0,1,0,0,0,0,1,0,0,0
46315,cisco,other,Product Manager,4.0,1.0,Product,Male,807.0,1,0,0,0,0,0,1,0,0,0
