,company,level,title,totalyearlycompensation,yearsofexperience,yearsatcompany,tag,gender,cityid,dmaid,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic
57217,google,L3,Software Engineer,196000,1.0,1.0,API Development (Back-End),Male,10182,501.0,0,1,0,0,0,0,1,0,0,0
57222,other,L5,Software Engineer,400000,10.0,0.0,Full Stack,Male,22035,564.0,1,0,0,0,0,0,1,0,0,0
57223,other,IC4,Hardware Engineer,300000,5.0,0.0,other,Male,7434,807.0,1,0,0,0,0,1,0,0,0,0
57224,other,other,Software Engineer,227000,8.0,0.0,other,Male,11527,819.0,0,1,0,0,0,0,1,0,0,0
57225,other,other,Software Engineer,187000,1.0,1.0,API Development (Back-End),Male,1206,0.0,0,1,0,0,0,1,0,0,0,0
57229,other,L7,Software Engineering Manager,495000,15.0,8.0,Full Stack,Male,7472,807.0,1,0,0,0,0,1,0,0,0,0
57230,cisco,other,Software Engineer,189000,4.0,2.0,other,Male,7422,807.0,1,0,0,0,0,1,0,0,0,0
57231,other,other,Software Engineer,85000,4.0,4.0,Full Stack,Male,8399,527.0,1,0,0,0,0,1,0,0,0,0
57232,amazon,L5,Software Engineer,290000,5.0,5.0,DevOps,Male,11527,819.0,0,1,0,0,0,0,1,0,0,0
57233,facebook,other,Software Engineer,198000,1.0,1.0,other,Male,7300,807.0,0,0,0,1,0,1,0,0,0,0
57234,intel,other,Hardware Engineer,165000,10.0,10.0,other,Male,10965,635.0,1,0,0,0,0,1,0,0,0,0
57235,other,other,Software Engineer,97000,0.0,0.0,Full Stack,Male,11039,623.0,1,0,0,0,0,1,0,0,0,0
57236,google,L3,Software Engineer,171000,3.0,0.0,Distributed Systems (Back-End),Male,9606,560.0,1,0,0,0,0,0,1,0,0,0
57237,facebook,other,Software Engineer,198000,1.0,1.0,other,Female,7300,807.0,0,1,0,0,0,0,1,0,0,0
57239,other,other,Software Engineer,133000,15.0,6.0,other,Male,1206,0.0,1,0,0,0,0,0,1,0,0,0
57240,other,other,Software Engineer,95000,3.0,1.0,other,Female,10182,501.0,0,1,0,0,0,1,0,0,0,0
57242,amazon,L4,Software Engineer,173000,3.0,0.0,Distributed Systems (Back-End),Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
57243,amazon,L4,Software Engineer,141000,1.0,1.0,API Development (Back-End),Male,11527,819.0,0,1,0,0,0,0,1,0,0,0
57245,other,other,Hardware Engineer,310000,8.0,8.0,other,Male,7422,807.0,0,0,1,0,0,1,0,0,0,0
57246,other,L5,Software Engineer,176000,9.0,0.0,API Development (Back-End),Male,10965,635.0,0,1,0,0,0,1,0,0,0,0
57247,other,L6,Software Engineer,190000,15.0,0.0,Distributed Systems (Back-End),Male,10965,635.0,0,1,0,0,0,1,0,0,0,0
57248,other,L3,Software Engineer,160000,5.0,0.0,API Development (Back-End),Male,11039,623.0,0,1,0,0,0,1,0,0,0,0
57251,other,other,Software Engineer,105000,6.0,6.0,Full Stack,Male,4815,0.0,1,0,0,0,0,1,0,0,0,0
57253,other,other,Software Engineer,120000,12.0,3.0,API Development (Back-End),Male,1320,0.0,0,1,0,0,0,0,1,0,0,0
57256,other,L4,Software Engineer,110000,7.0,1.0,Web Development (Front-End),Male,7839,524.0,0,0,0,1,0,0,0,0,0,1
57258,google,L4,Software Engineer,265000,9.0,0.0,other,Male,7472,807.0,1,0,0,0,0,1,0,0,0,0
57259,apple,other,other,415000,25.0,6.0,other,Male,7472,807.0,0,1,0,0,0,0,1,0,0,0
57260,google,L3,Software Engineer,220000,4.0,0.0,Distributed Systems (Back-End),Male,7472,807.0,1,0,0,0,0,1,0,0,0,0
57261,other,other,Software Engineer,140000,0.0,0.0,API Development (Back-End),Male,7046,753.0,1,0,0,0,0,1,0,0,0,0
57262,cisco,other,Product Manager,93000,4.0,0.0,Product,Male,6596,0.0,1,0,0,0,0,0,1,0,0,0
57263,intel,other,Technical Program Manager,150000,11.0,3.0,other,Male,4037,0.0,1,0,0,0,0,0,1,0,0,0
57264,other,other,Business Analyst,85000,3.0,1.0,other,Female,7667,504.0,1,0,0,0,0,1,0,0,0,0
57267,other,other,Software Engineer,141000,2.0,0.0,Distributed Systems (Back-End),Male,4018,0.0,0,1,0,0,0,0,1,0,0,0
57269,other,L4,other,210000,8.0,1.0,other,Male,10965,635.0,1,0,0,0,0,0,0,1,0,0
57271,other,other,Product Manager,117000,2.0,1.0,Product,Male,1222,616.0,0,1,0,0,0,0,1,0,0,0
57272,other,other,Software Engineer,105000,11.0,7.0,Full Stack,Male,8660,529.0,0,1,0,0,0,0,1,0,0,0
57273,other,other,Software Engineer,85000,3.0,0.0,Web Development (Front-End),Male,7839,524.0,1,0,0,0,0,0,1,0,0,0
57274,other,other,Software Engineer,82000,3.0,3.0,API Development (Back-End),Male,5906,0.0,0,1,0,0,0,0,1,0,0,0
57276,other,Senior Software Engineer,Software Engineer,90000,3.0,3.0,Distributed Systems (Back-End),Male,4015,0.0,0,1,0,0,0,0,1,0,0,0
57277,other,other,Software Engineer,180000,5.0,0.0,Full Stack,Male,7422,807.0,1,0,0,0,0,1,0,0,0,0
57278,other,other,Software Engineer,220000,2.0,0.0,Distributed Systems (Back-End),Female,7472,807.0,1,0,0,0,0,1,0,0,0,0
57279,microsoft,other,Software Engineer,91000,8.0,2.0,Full Stack,Male,4015,0.0,1,0,0,0,0,0,1,0,0,0
57281,other,other,Product Manager,222000,20.0,2.0,other,Female,7419,807.0,1,0,0,0,0,0,1,0,0,0
57283,other,other,Software Engineer,100000,1.0,1.0,Full Stack,Male,11039,623.0,0,1,0,0,0,0,1,0,0,0
57284,microsoft,other,Product Manager,340000,22.0,3.0,Product,Male,1320,0.0,0,0,0,1,0,0,0,0,0,1
57285,other,other,Software Engineer,135000,14.0,0.0,Distributed Systems (Back-End),Male,47926,0.0,0,1,0,0,0,1,0,0,0,0
57287,other,other,Software Engineer,78000,0.0,0.0,other,Male,9594,517.0,0,1,0,0,0,0,1,0,0,0
57288,other,other,Software Engineering Manager,200000,20.0,1.0,Full Stack,Male,11343,511.0,1,0,0,0,0,1,0,0,0,0
57289,oracle,other,Software Engineering Manager,55000,20.0,10.0,Distributed Systems (Back-End),Male,47926,0.0,1,0,0,0,0,1,0,0,0,0
57291,other,other,Software Engineer,214000,3.0,3.0,other,Male,7472,807.0,1,0,0,0,0,1,0,0,0,0
57292,other,other,Software Engineer,11000,3.0,3.0,Full Stack,Male,4058,0.0,0,1,0,0,0,1,0,0,0,0
57296,other,L2,Software Engineer,28000,6.0,0.0,Full Stack,Male,4062,0.0,0,1,0,0,0,1,0,0,0,0
57297,salesforce,other,Software Engineer,215000,6.0,6.0,Full Stack,Male,7419,807.0,0,0,0,1,0,1,0,0,0,0
57298,other,other,Management Consultant,97000,4.0,4.0,other,Female,10646,504.0,0,1,0,0,0,0,1,0,0,0
